College,CreditCard,FoodSpend,Income,TravelSpend
Yes,Yes,5472.43,49150,827.4
No,Yes,9130.73,47806,863.55
No,Yes,4450.67,46050,1180.05
No,Yes,5020.72,42600,755.7
No,Yes,3408.11,52092,851.4
No,No,2850.33,60248,1751.7
No,No,3680.6,49412,4557.3
No,Yes,2863.2,58520,3294.45
No,No,6754.48,57274,3420
No,No,2902.44,60248,4526.85
No,No,4317.49,57478,2938.65
No,Yes,4729.11,49412,851.85
No,Yes,1843.52,49412,1740
No,Yes,3442.98,50254,1219.8
No,No,6317.55,49450,3514.65
No,Yes,3391.87,49004,2370
Yes,No,2494.45,49150,2488.5
No,No,6798.94,52092,2151.6
No,No,4347.48,58110,2002.5
No,No,2487.89,65982,1715.25
No,No,5736.34,53986,3150
No,No,3046.45,49004,2623.05
No,Yes,4935.72,44178,1151.85
Yes,No,6134.26,49020,1585.95
No,Yes,6167,47806,824.4
No,No,6275.61,65982,3924.45
No,Yes,2711.42,58520,2784.75
No,Yes,3059.78,58520,1114.2
Yes,No,3305.7,53504,3061.13
Yes,Yes,2260.17,58520,4061.45
Yes,No,7032.27,53986,3144.68
Yes,Yes,4070.45,52092,2527.92
No,Yes,3296.05,58520,2730.59
Yes,No,2386.85,65982,2094.99
No,Yes,2621.01,58520,4279.97
Yes,Yes,1853.53,58520,4113.84
No,No,5898.74,65982,5129.52
No,No,2850.33,60248,1492.61
No,No,3316.9,58520,5213.65
No,No,2995.1,44076,5139.98
No,No,2295.23,46050,5232.05
No,No,3543.34,65982,2354.33
No,No,2850.33,60248,4079.36
No,No,6102.03,50118,3075
Yes,No,2985.42,44720,1573.05
No,No,4289.78,53012,4432.35
Yes,No,5307.27,53012,2456.7
No,No,1710.9,60248,2961.3
Yes,Yes,3757.25,47330,1204.65
Yes,No,3840.28,47228,2751.45
No,No,3585.86,42250,2251.95
Yes,No,2447.14,77626,2656.35
No,No,2019.98,65982,4338.75
No,Yes,6269.39,47330,1006.5
No,Yes,4417.16,47330,2044.05
No,No,6722.01,53986,1742.7
No,Yes,6362.24,44178,855.75
No,Yes,5293.05,57274,896.55
No,No,3863.5,65982,3889.8
No,No,4593.38,53986,2434.2
Yes,No,3951.55,60536,1952.25
No,Yes,2621.01,58520,1992.75
Yes,No,2216.7,65982,1944.45
Yes,No,3651.91,58110,3021.45
No,No,5450.85,53986,1525.2
No,No,6583.72,57274,4562.7
No,Yes,4386.55,37866,1179.3
No,No,2517.74,49412,4897.05
No,No,4215.01,53986,1403.25
No,No,4146.13,58520,3613.2
No,No,6269.75,53986,1810.5
No,No,4124.55,58520,3290.7
No,No,3863.5,65982,3889.8
No,Yes,3405.75,46050,1282.8
No,No,2892.9,65982,4096.8
No,No,9129.66,59676,2653.2
Yes,Yes,5550.56,47806,1028.85
No,No,1892.37,77626,2361.75
No,No,2295.23,46050,4197.45
Yes,No,2263.81,49150,2541.15
No,Yes,7746.63,53012,2493.75
No,No,1940.17,44178,3131.85
Yes,Yes,2044.21,58520,1856.1
No,No,2225.74,44178,3233.55
Yes,No,6166.33,44720,1839.3
No,Yes,5193.61,47806,988.65
Yes,Yes,4548.61,49150,1088.7
No,No,2548.46,65982,4534.95
Yes,No,5566.43,63962,1944.3
No,No,4593.38,53986,2434.2
Yes,No,4516.9,53012,1622.25
Yes,No,6172.24,55988,1844.85
No,No,3910.81,50118,2708.4
Yes,No,2263.81,49150,2541.15
No,Yes,4417.16,47330,2044.05
No,No,2019.98,65982,4338.75
No,No,7046.11,53986,1851.6
No,No,5180.13,53986,1646.7
No,No,3266.44,63962,1641.6
Yes,Yes,2082.23,49004,1564.95
No,No,8369.88,53012,3089.4
No,No,4947.28,58520,3132.9
Yes,Yes,5201.34,47308,1601.55
No,Yes,3905.34,49412,1524.6
No,No,5124.22,61832,1219.2
No,No,4275.35,53986,3001.35
Yes,No,3787.29,65982,2058.75
No,No,3543.34,65982,2934.6
No,Yes,8795.73,49412,846.45
No,No,4040.09,65982,2014.5
No,No,3474.23,65982,2320.95
No,No,6798.94,52092,2151.6
No,No,6769.31,58110,2826.9
Yes,No,5149.7,42414,1447.95
No,No,4358.51,61832,4215.9
No,No,4641.26,54422,4458
No,No,6102.03,50118,3075
No,No,2313.6,65982,4487.55
Yes,No,3760.1,58110,1342.05
No,No,3789.64,60248,2153.85
No,No,6397.4,61832,1326.9
Yes,No,3285.29,49150,1763.85
No,Yes,4191.24,51648,1495.5
No,No,3654.11,58520,4412.7
Yes,No,3465.14,49150,864.3
No,No,6102.03,50118,3075
No,No,3046.45,49004,2623.05
No,Yes,4722.17,54422,1617.9
Yes,Yes,2238.08,49150,1934.55
No,Yes,3100.41,54422,2224.2
No,No,4487.07,57274,3594.9
Yes,No,2216.7,65982,1944.45
No,No,3316.9,58520,2395.65
No,No,2487.89,65982,1715.25
No,No,5560.73,58520,2184.15
No,No,4840.48,65982,2712.75
Yes,Yes,2424.61,44076,1385.25
No,No,8714.03,65982,3760.95
Yes,No,5963.75,53986,1313.85
No,No,9350.13,53986,3237.45
No,Yes,3932.29,49412,3434.85
Yes,No,3840.28,47228,2751.45
No,No,4809.1,58110,4055.4
No,No,3413.42,58520,3506.7
No,Yes,2617,50900,1721.4
No,No,3447.63,47330,4308.45
No,No,4840.48,65982,2712.75
Yes,No,3333.11,61832,3328.35
No,Yes,2863.2,58520,3294.45
Yes,No,2040.42,58520,2182.95
No,Yes,5751.82,54422,958.8
No,No,2905.97,65982,4102.95
Yes,No,2216.7,65982,1944.45
No,Yes,5391.08,49412,807
No,Yes,3098.74,49412,735.3
No,Yes,5101.83,77626,880.2
No,No,4593.38,53986,2434.2
No,No,5011.88,53986,3065.25
No,No,3647.27,65982,3225.15
No,Yes,3042.25,58520,1154.4
Yes,Yes,5706.76,44720,1591.65
No,No,7046.98,58110,3607.2
Yes,No,5565.54,57274,3010.35
No,Yes,3702.18,58520,939.45
Yes,No,5121.24,42414,2217
Yes,No,3123.35,60248,1769.55
Yes,No,3536.16,49020,2148
No,No,4523.31,58520,3512.25
No,Yes,4601.96,57274,974.55
No,No,1940.17,44178,3131.85
No,No,2617.87,50900,3359.85
No,No,7617.69,57274,3458.4
No,No,3362.86,65982,5616
Yes,No,5313.07,50118,2083.2
No,Yes,4662.44,54422,2589.45
Yes,No,2422.98,65982,1858.35
No,Yes,5266.72,49412,859.95
Yes,Yes,2844.24,49150,1173.6
No,No,9185.28,60248,3116.4
No,No,6140.91,60248,4671.9
No,No,6334.03,53986,2500.05
No,Yes,3059.78,58520,1114.2
No,No,4597.29,53012,2634.9
No,No,3911.17,58520,2353.95
No,No,4840.48,65982,2712.75
No,Yes,4992.63,57274,1016.7
No,No,2617.87,50900,3359.85
No,No,3316.9,58520,2395.65
Yes,No,3787.29,65982,2058.75
No,No,4947.28,58520,3132.9
No,No,4146.13,58520,3613.2
No,No,6865.77,77626,5217.3
No,Yes,5198.85,48472,987
No,No,5472.07,57478,3775.95
Yes,No,1706.89,49412,2507.4
No,No,3647.27,65982,3225.15
No,No,3105.31,49412,1056.15
No,No,3362.86,65982,5616
No,No,5560.73,58520,2184.15
No,No,4384.63,49412,1570.8
Yes,Yes,5619.02,49150,796.05
No,Yes,3042.25,58520,1154.4
Yes,No,3042.09,42414,1873.8
No,No,3428.64,65982,1910.7
No,Yes,3702.18,58520,939.45
No,No,5465.98,53986,3383.4
No,No,5560.73,58520,2184.15
Yes,No,2682.54,60248,1816.35
No,Yes,3725.96,50900,1282.2
Yes,Yes,3690.13,54422,1694.85
No,No,7138.34,57274,2729.85
No,No,3447.63,47330,4308.45
Yes,No,3375.37,42414,1581.75
No,Yes,5222.3,44178,1266.9
Yes,No,6037.84,57478,3069.3
No,No,8117.12,51648,3875.55
No,Yes,6337.2,57274,913.05
No,No,2487.89,65982,1715.25
No,No,2225.74,44178,3233.55
No,No,5570.8,57274,3794.55
No,No,3863.5,65982,3889.8
No,No,3264.94,49412,4398.15
No,No,5921.73,57274,3741.75
No,No,3329.81,47806,4107.45
Yes,Yes,5265.15,49412,904.2
No,Yes,2000.67,42242,2362.5
No,No,5155.47,60248,6030.3
No,No,2487.89,65982,1715.25
No,No,5317.36,55988,2172.9
No,No,3316.9,58520,2395.65
No,No,1550.16,49004,2688.45
No,No,3127.59,55988,4376.7
No,No,8714.03,65982,3760.95
No,No,2548.46,65982,4534.95
No,Yes,5034.18,50900,852
No,No,5006.45,65982,3278.1
No,No,9935.07,55988,2011.35
No,Yes,5117.49,54422,1152.15
No,No,3910.81,50118,2708.4
No,No,6131.6,58110,2097.15
No,Yes,2800.91,58520,1036.5
Yes,No,5566.43,63962,1944.3
No,No,3428.64,65982,1910.7
Yes,No,2828.16,53504,1847.7
Yes,No,5335.32,44720,1714.2
No,Yes,7262.65,47330,3006.15
No,No,5898.74,65982,2548.5
No,No,4636,53986,2997
No,Yes,5552.01,61832,769.5
No,No,2587.58,58110,1044
No,Yes,3262.15,58520,1925.4
No,No,6275.61,65982,3924.45
No,No,4439.86,57274,3047.55
Yes,No,2012.46,44720,3580.95
Yes,No,4112.44,53986,2154.3
No,No,7251.37,58110,2534.4
No,Yes,6172.95,52092,2874.45
No,No,3977.23,60248,3463.05
No,No,7968.63,57478,3526.5
No,No,9978.49,49412,1256.1
No,No,2517.74,49412,4897.05
No,No,3300.08,52092,3479.55
Yes,No,4014.79,58520,1888.5
No,No,2626.9,65982,1758.45
No,No,5583.02,53012,4723.2
No,No,5898.74,65982,2548.5
Yes,Yes,2781.55,49150,1052.4
Yes,No,2263.81,49150,2541.15
No,No,2967.59,77626,3702.75
No,No,4579.82,58520,2905.05
Yes,No,6172.12,49150,2575.05
No,No,6143.2,57478,4175.85
Yes,No,2386.85,65982,1859.55
No,No,8369.88,53012,3089.4
No,No,3362.86,65982,5616
No,Yes,5255.24,61832,1036.8
Yes,Yes,7641.73,44178,1086.45
Yes,No,3198.81,58520,2379.45
No,No,3748.6,58520,3225.9
No,Yes,4471.62,51990,1187.55
Yes,No,4074.1,42414,3925.05
No,No,3977.23,60248,3463.05
No,No,4128.6,58110,3107.55
No,No,5560.73,58520,2184.15
No,No,7664.03,49412,1188.45
No,No,4935.18,57274,4467.45
No,No,5898.74,65982,2548.5
No,No,4542.83,60248,2101.05
No,No,9649.01,60248,2078.4
No,No,5792.28,58520,2610.9
No,Yes,3923.94,49412,775.95
No,No,5840.94,58110,5033.25
Yes,Yes,5182.37,49150,815.7
Yes,Yes,4843.94,54422,2250.6
No,No,4491.65,77626,1277.85
Yes,No,3819.52,57274,2303.7
No,No,4312.95,53986,1598.4
No,No,4523.31,58520,3512.25
Yes,No,4191.14,42414,2290.05
No,No,4809.1,58110,4055.4
No,No,2806.92,65982,1812.6
No,No,6583.72,57274,4562.7
No,Yes,3106.38,49412,2715.3
No,Yes,2963.01,46050,1650
No,Yes,2668.2,58520,1126.05
No,Yes,2297.85,58520,2281.5
No,No,2946.23,44076,2464.5
No,Yes,2572.42,58520,2093.4
No,Yes,5291.99,57274,961.65
Yes,Yes,3935.01,49150,861
Yes,No,2982.62,60248,1872.3
No,Yes,3262.15,58520,1925.4
Yes,Yes,10000,59692,717.75
No,Yes,4730.96,69760,987.6
No,Yes,4116.08,53012,2874.9
